,name,formula,spacegroup,official_spacegroup
76334,oqmd-2623,BaCu2GeS4,152,144
97121,oqmd-753747,MgZn,6,38
211028,oqmd-1209985,Ba2ZnGeO6,71,139
218459,oqmd-760278,ZnSn,6,38
221496,oqmd-754340,DyTi2,189,38
233178,oqmd-752310,MgIn,6,38
255761,oqmd-754468,Ti2Ga,189,38
262178,oqmd-1203304,Ba2ScVO6,166,12
268227,oqmd-753395,MgTc,6,38
269432,oqmd-1018092,Sc2CuAu,139,-1
314003,oqmd-760027,Rb3Zn4,176,6
315391,oqmd-13047,Sr4Zn3F14,157,8
361978,oqmd-756438,CaZr,6,38
411632,oqmd-755588,SmTi2,189,38
418158,oqmd-756083,TiZn,6,38
